url,label
http://www.google.com,legitimate
http://your-bank-secure-login.com/update-details,phishing
https://github.com/hussein-da,legitimate
http://192.168.1.10/admin,phishing
https://www.paypal.com.cgi-bin.webscr.cmd._login-submit.processContinuation.secure.login.com/login/,phishing
http://facebook.com,legitimate
http://amaz0n.com-support-billing.net/account-update/,phishing
https://en.wikipedia.org/wiki/Artificial_intelligence,legitimate
http://totally-not-a-scam-site.org/free-money,phishing
https://www.myuniversity.edu/portal,legitimate
http://apple.id.verify-account-details.info,phishing
http://microsoft.support.online-service.co/security_alert/,phishing
https://www.some-random-blog.net/article123,legitimate
http://chase-bank-security-update-required.com/login,phishing
https://developer.mozilla.org/en-US/docs/Web/JavaScript,legitimate
http://verify-your-bank-account-now.info/submit,phishing
https://stackoverflow.com/questions/tagged/python,legitimate
http://login.microsoftonline.com.securitymeasure.net/,phishing
http://www.official-irs-gov-tax-refund.com/claim,phishing
https://www.youtube.com,legitimate 
